id,FalseSent,ref1,ref2,ref3
144,يقود جيرالت سيارته كل يوم,السيارات لها عجلات ولا يمكنها الطيران,السيارات لا تطير.,السيارات لا تطير
145,احتاجت إلى الاتصال بوالدتها لكنها لم تستطع العثور على مفاتيح سيارتها,مفاتيح السيارة مخصصة لقفل السيارة أو فتحها بدلاً من استدعاء الأشخاص,لا يستخدم الشخص مفاتيح السيارة لإجراء مكالمة هاتفية,مفاتيح السيارة لا تقوم بإجراء مكالمات هاتفية
146,خدم كرة أرضية لتناول العشاء,الكرات الأرضية مصنوعة من مواد لا يمكنك تناولها,الكرة الأرضية ليست طعامًا.,الكرة الأرضية ليست صالحة للأكل ، وبالتالي لا يمكن تقديمها كوجبة عشاء
147,ذهب إلى صالون التجميل لأنه يشعر بالجوع,صالون التجميل لا يوفر الطعام لجوعك,صالونات التجميل لا تبيع الطعام,الصالونات ليس لديها طعام للجوع
148,ضرب البيانو,البيانو آلة نلعبها ، لا نضربها,لا يمكنك إخراج الموسيقى من البيانو بضربها.,أنت لا تضرب البيانو
149,اليوم سيكون 30 ساعة,يوم واحد هو 24 ساعة فقط,كل يوم بحكم التعريف هو 24 ساعة,في النهار فقط 24 ساعة
150,الكوب مخصص لاحتجاز الغاز الذي تخطط لشربه.,لا يمكنك شرب الغاز.,لا يشرب الإنسان الغازات من الكوب أو أي شيء آخر.,لن يبقى الغاز في الكوب.
151,أنا ألبس أسد,الأسد حيوان بري,لا ترتدي الأسود الملابس.,أنت لا ترتدي ملابس على أسد.
152,ألقى سندانًا في السلة.,السندان ثقيل جدًا بحيث لا يمكن رميها في سلة.,السندان ثقيل جدًا ولا يمكن إلقاؤه من خلال سلة,السندان كبيرة وثقيلة جدًا بحيث لا يمكن رميها.
153,أحب أكل الآيس كريم المطبوخ,الآيس كريم لأخذها وليس للطبخ,أنت لا تطبخ الآيس كريم,سيذوب الآيس كريم إذا تم طهيه.
154,أكل رافعة.,الرافعة المصنوعة من المعدن غير صالحة للأكل.,الرافعة ليست طعاما.,الرافعة ليست شيئًا يؤكل - إنها ليست طعامًا.
155,رقص على الملعقة,الملعقة هي إناء,الملعقة صغيرة جدًا للرقص عليها.,الملاعق أصغر من أن ترقص عليها.
156,المناظر الطبيعية هي لوحة أو صورة تركز على وجه الشخص,تصور المناظر الطبيعية الأرض وليس الأفراد,تركز المناظر الطبيعية على نطاق أوسع وأكثر على البيئة من الفرد.,تركز المناظر الطبيعية على بيئة طبيعية ، وليس على شخص.
157,أكل الطفل الطين من وجهه.,لا يأكل البشر الطين.,الطين غير صالح للأكل.,الطين غير صالح للأكل.
158,قام رجل بفك تجميد دجاجة باستخدام ولاعة.,لا يمكنك فك تجميد الدجاج باستخدام ولاعة لأن الحرارة المتولدة صغيرة جدًا وتركز على جزء واحد فقط من الدجاج.,الولاعات غير مصممة لفك تجميد العناصر المجمدة.,الولاعة أصغر من أن تذوب ثلج الدجاج.
159,كان يمشي على الماء.,الماء ليس له سطح صلب ليحمل شخصًا فوقه.,الماء لا يدعم وزن الإنسان,لا يستطيع الإنسان المشي على الماء
160,سمكة قرش تقابل سمكة.,أسماك القرش والأسماك لا تتحدث.,سمكة قرش لا تستطيع الكلام,السمك لا يستطيع الكلام
161,رفعت الجرار.,الجرار ثقيل جدًا بالنسبة لشخص واحد.,من المستحيل جسديًا أن يقوم شخص واحد فقط برفع الجرار.,الجرارات ثقيلة جدًا بحيث لا يمكن لشخص عادي أن يرفعها
162,هي تجري مكالمة من الموقد.,الموقد للطبخ.,الموقد ليس للمكالمات,المواقد لا تستدعي الناس
163,تشرق الشمس مشرقة في الليل,لا تظهر الشمس في الليل,في الليل لا تشرق الشمس.,في الليل لا نستطيع رؤية الشمس وبالتالي لا تتألق في الليل.
164,الكتاب يأكل,الكتاب ليس حيا,الكتاب ليس حيا.,الكتب مصنوعة من الورق وليس لها سبيل للأكل
165,المرأة تكتب في السماء.,الجنة ليس لها صفحات مثل الكتاب.,لا يمكنك كتابة السماء,لا تستطيع المرأة أن تكتب جسديا في السماء.
166,بلد liegenpoofa موجود,الدنمارك موجودة و Liegenpoofa ليست كذلك,لا يوجد بلد يعرف باسم liegenpoofa.,لا توجد دولة تسمى liegenpoofa
167,لن تجد غبارًا على سطح المكتب أبدًا.,يتراكم الغبار على سطح المكتب بشكل طبيعي مع مرور الوقت بسبب الجراثيم الموجودة في الهواء.,يمكن العثور على الغبار في كل مكان,الغبار يهبط في أي مكان.
168,الكلاب تأكل أسلاك التمديد.,أسلاك التمديد غير صالحة للأكل.,أسلاك التمديد ليست طعامًا ويجب عدم تناولها كقاعدة عامة.,ستموت الكلاب إذا أكلت الحبال
169,يحب الأطفال غسل الملابس,يُنظر إلى الغسيل عمومًا على أنه نشاط ممل,الغسيل ليس نشاطًا ممتعًا للأطفال.,لا يحب الأطفال القيام بالأعمال المنزلية
170,يمكنك الاستحمام في الخلاط,الخلاط صغير جدًا,سيموت الناس في الخلاط,الخلاط صغير جدًا للاستحمام.
171,كانت العملة مصنوعة من الجبن,الجبن غذاء والفضة معدن,الجبن طري جدًا وصالح للأكل بحيث لا يمكن تحويله إلى عملة معدنية.,تصنع العملات المعدنية عادة من المعدن وليس الطعام.
172,تستخدم شوكة لتقطيع الخبز,الشوكة ، على عكس السكين ، لا يمكن أن تقطع,يتم استخدام سكين لتقطيع الخبز,الشوك ليست حادة بما يكفي لقطع الخبز.
173,تصنع العجة ببيض الحصان.,الحصان لا يضع البيض.,لا تبيض الخيول,لا تبيض الخيول.
174,استلقيت على مياه البركة لتنام,لا أحد يستطيع أن ينام على الماء.,تسبح في مياه البركة,كان الشخص يغرق في بركة.
175,تجمد الماء على الموقد.,تسخن المواقد ولا يمكنك تجميد الماء في الحرارة.,المواقد ساخنة حتى لا يغلي الماء ولا يتجمد,الموقد يسخن الأشياء ولا يجمدها.
176,غزل حصان شبكة,لا تمتلك الخيول الغدد لإنتاج المواد اللازمة لتدوير الشبكات.,لا تقوم الخيول بتدوير الشبكات.,الحصان غير قادر على غزل الويب.
177,اشترت لعبة ماين كرافت لتلعب كرة الشبكة معها,ماين كرافت هي لعبة افتراضية,ماين كرافت هي لعبة كمبيوتر وليست لعبة.,Netball هي لعبة رياضية و Minecraft هي لعبة كمبيوتر لا تتعلق بالرياضة.
178,وضعت منزلاً في حقيبتها.,المنزل أكبر بكثير من المحفظة.,المنازل لا تتناسب مع المحافظ,المنزل كبير جدًا بحيث لا يمكن وضعه في حقيبة يد.
179,أخذت دبابة قتال في السيارة.,دبابة القتال أكبر بكثير من السيارة.,دبابة قتال أكبر من سيارة.,دبابة قتال أكبر بكثير من سيارة ولن تناسبها
180,وضع الحذاء في فمه,الأحذية تسير على الأقدام ، لا في الأفواه.,الأحذية ليست معدة للاستهلاك وهي عمومًا ليست جيدة المذاق ، فلا داعي لوضعها في فم المرء.,الأحذية لا تناسب فم الشخص.
